Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"FIGEAC AERO";FR0011665280;FGA;"Euronext Paris";EUR;10.60;10.80;10.44;10.74;"15/05/2026 17:35";CET;24974;266184.13;10.74;15/05/2026
"FILL UP MEDIA";FR001400AEM6;ALFUM;"Euronext Growth Paris";EUR;6.54;6.84;6.24;6.84;"15/05/2026 15:31";CET;5095;33306.90;6.84;15/05/2026
"FIN.OUEST AFRICAIN";SN0000033192;FOAF;"Euronext Paris";EUR;14.80;14.80;14.80;14.80;"13/05/2026 11:30";CET;4;59.20;14.80;15/05/2026
"FINANCIERE MARJOS";FR0000060824;FINM;"Euronext Paris";EUR;0.92;0.92;0.92;0.92;"15/05/2026 16:30";CET;2471;2273.32;0.92;15/05/2026
FINAXO;FR0010487272;MLFXO;"Euronext Access Paris";EUR;4.48;4.48;4.32;4.32;"15/05/2026 16:30";CET;54;238.08;4.32;15/05/2026
FIPP;FR0000038184;FIPP;"Euronext Paris";EUR;0.145;0.15;0.14;0.147;"15/05/2026 17:35";CET;176778;26455.982;0.147;15/05/2026
FIRSTCAUTION;CH0120879058;MLFIR;"Euronext Access Paris";EUR;34.00;34.00;34.00;34.00;"15/05/2026 16:30";CET;84;2856.00;34.00;15/05/2026
"FLEURY MICHON";FR0000074759;ALFLE;"Euronext Growth Paris";EUR;22.00;22.40;22.00;22.20;"15/05/2026 17:15";CET;681;15097.40;22.20;15/05/2026
FLORENTAISE;FR001400GO75;ALFLO;"Euronext Growth Paris";EUR;0.47;0.47;0.462;0.462;"15/05/2026 11:57";CET;941;439.502;0.462;15/05/2026
"FNAC DARTY";FR0011476928;FNAC;"Euronext Paris";EUR;35.30;35.30;35.25;35.30;"15/05/2026 17:35";CET;6531;230426.45;35.30;15/05/2026
FNPTECHNOLOGIESSA;FR0013230067;MLFNP;"Euronext Access Paris";EUR;0.06;0.06;0.06;0.06;"23/04/2026 16:30";CET;80000;4800.00;0.06;15/05/2026
"FONCIERE 7 INVEST";FR0000065930;LEBL;"Euronext Paris";EUR;0.30;0.30;0.30;0.30;"20/04/2026 16:30";CET;50;15.00;0.30;15/05/2026
"FONCIERE INEA";FR0010341032;INEA;"Euronext Paris";EUR;35.20;35.20;35.00;35.00;"15/05/2026 17:35";CET;33;1158.80;35.00;15/05/2026
"FONCIERE VINDI";FR0011605617;MLVIN;"Euronext Access Paris";EUR;4.58;4.58;4.58;4.58;"16/03/2026 16:30";CET;200;916.00;4.58;15/05/2026
"FONCIERE VOLTA";FR0000053944;SPEL;"Euronext Paris";EUR;9.00;9.00;9.00;9.00;"14/05/2026 16:30";CET;30;270.00;9.00;15/05/2026
"FORESTIERE EQUAT.";CI0000053161;FORE;"Euronext Paris";EUR;765.00;765.00;765.00;765.00;"15/04/2026 16:30";CET;1;765.00;765.00;15/05/2026
"FORSEE POWER";FR0014005SB3;ALFOR;"Euronext Growth Paris";EUR;0.27;0.272;0.2575;0.27;"15/05/2026 17:35";CET;122706;32840.612;0.27;15/05/2026
FORVIA;FR0000121147;FRVIA;"Euronext Paris";EUR;10.86;10.94;10.175;10.485;"15/05/2026 17:35";CET;1010515;10612538.615;10.485;15/05/2026
"FOUNTAINE PAJOT";FR0010485268;ALFPC;"Euronext Growth Paris";EUR;92.60;93.20;92.30;92.30;"15/05/2026 17:35";CET;166;15352.80;92.30;15/05/2026
"FRANCAISE ENERGIE";FR0013030152;FDE;"Euronext Paris";EUR;36.00;36.45;36.00;36.35;"15/05/2026 17:35";CET;5474;198403.40;36.35;15/05/2026
"FRANCE TOURISME";FR0010823724;MLFTI;"Euronext Access Paris";EUR;0.073;0.073;0.073;0.073;"13/05/2026 16:30";CET;2761;201.55;0.073;15/05/2026
FREELANCE.COM;FR0004187367;ALFRE;"Euronext Growth Paris";EUR;2.16;2.22;2.16;2.18;"15/05/2026 17:35";CET;1746;3824.08;2.18;15/05/2026
FREY;FR0010588079;FREY;"Euronext Paris";EUR;34.60;34.60;34.60;34.60;"15/05/2026 12:08";CET;256;8857.60;34.60;15/05/2026
FSDV;FR0000031973;FSDV;"Euronext Paris";EUR;18.20;18.20;18.20;18.20;"15/05/2026 16:56";CET;401;7298.20;18.20;15/05/2026
G.A.I.;FR0000053415;MLGAI;"Euronext Access Paris";EUR;144.00;144.00;142.00;142.00;"15/05/2026 16:30";CET;15;2158.00;142.00;15/05/2026
GALEO;FR0011100759;MLGAL;"Euronext Access Paris";EUR;4.14;4.14;4.14;4.14;"11/05/2026 16:30";CET;100;414.00;4.14;15/05/2026
GASCOGNE;FR0000124414;ALBI;"Euronext Growth Paris";EUR;2.08;2.08;2.00;2.00;"15/05/2026 17:14";CET;2741;5546.96;2.00;15/05/2026
GAUMONT;FR0000034894;GAM;"Euronext Paris";EUR;102.00;105.00;102.00;102.00;"15/05/2026 15:45";CET;279;28929.00;102.00;15/05/2026
"GEA GRENOBL.ELECT.";FR0000053035;GEA;"Euronext Paris";EUR;89.00;89.00;88.50;88.50;"15/05/2026 17:35";CET;6;531.50;88.50;15/05/2026
"GECI INTL";FR001400M1R1;ALGEC;"Euronext Growth Paris";EUR;2.11;2.26;2.11;2.25;"15/05/2026 17:35";CET;2864;6300.42;2.25;15/05/2026
